GSE_ID	Sample_ID	evidence_type	field_raw	value
GSE232333	GSM7328773	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328773	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328773	tissue_field	source_name_ch1	HT1080_SMG7KO_11
GSE232333	GSM7328773	tissue_field	cell.line	HT1080_SMG7KO_11
GSE232333	GSM7328773	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328774	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328774	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328774	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328774	tissue_field	source_name_ch1	HT1080_SMG7KO_11
GSE232333	GSM7328774	tissue_field	cell.line	HT1080_SMG7KO_11
GSE232333	GSM7328774	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328775	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328775	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328775	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328775	tissue_field	source_name_ch1	HT1080_SMG7KO_12
GSE232333	GSM7328775	tissue_field	cell.line	HT1080_SMG7KO_12
GSE232333	GSM7328775	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328776	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328776	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328776	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328776	tissue_field	source_name_ch1	HT1080_SMG7KO_12
GSE232333	GSM7328776	tissue_field	cell.line	HT1080_SMG7KO_12
GSE232333	GSM7328776	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328777	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328777	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328777	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328777	tissue_field	source_name_ch1	HT1080_SMG7KO_12
GSE232333	GSM7328777	tissue_field	cell.line	HT1080_SMG7KO_12
GSE232333	GSM7328777	tissue_field	cell.type	fibrosarcoma
GSE24205	GSM595297	tissue_field	source_name_ch1	blood
GSE24205	GSM595297	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595298	disease_field	diagnosis.age	71y 8m
GSE24205	GSM595298	tissue_field	source_name_ch1	blood
GSE24205	GSM595298	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595299	tissue_field	source_name_ch1	blood
GSE24205	GSM595299	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595300	disease_field	diagnosis.age	53y 7m
GSE24205	GSM595300	tissue_field	source_name_ch1	blood
GSE24205	GSM595300	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595301	tissue_field	source_name_ch1	blood
GSE24205	GSM595301	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595302	disease_field	diagnosis.age	50y 9m
GSE24205	GSM595302	tissue_field	source_name_ch1	blood
GSE24205	GSM595302	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595303	tissue_field	source_name_ch1	blood
GSE24205	GSM595303	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595304	disease_field	diagnosis.age	70y 7m
GSE24205	GSM595304	tissue_field	source_name_ch1	blood
GSE24205	GSM595304	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595305	disease_field	diagnosis.age	75y 5m
GSE24205	GSM595305	tissue_field	source_name_ch1	blood
GSE24205	GSM595305	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595306	tissue_field	source_name_ch1	blood
GSE24205	GSM595306	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595307	tissue_field	source_name_ch1	blood
GSE24205	GSM595307	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595308	tissue_field	source_name_ch1	blood
GSE24205	GSM595308	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595309	disease_field	diagnosis.age	75y 11m
GSE24205	GSM595309	tissue_field	source_name_ch1	blood
GSE24205	GSM595309	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595310	tissue_field	source_name_ch1	blood
GSE24205	GSM595310	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595311	disease_field	diagnosis.age	59y 3m
GSE24205	GSM595311	tissue_field	source_name_ch1	blood
GSE24205	GSM595311	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595312	tissue_field	source_name_ch1	blood
GSE24205	GSM595312	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595313	disease_field	diagnosis.age	47y 11m
GSE24205	GSM595313	tissue_field	source_name_ch1	blood
GSE24205	GSM595313	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595314	disease_field	diagnosis.age	50y 7m
GSE24205	GSM595314	tissue_field	source_name_ch1	blood
GSE24205	GSM595314	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595315	disease_field	diagnosis.age	49y 4m
GSE24205	GSM595315	tissue_field	source_name_ch1	blood
GSE24205	GSM595315	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595316	tissue_field	source_name_ch1	blood
GSE24205	GSM595316	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595317	tissue_field	source_name_ch1	blood
GSE24205	GSM595317	tissue_field	cell.type	lymphoblastoid cell line
